IssueType,Epic,Summary,Description,Priority,Owner,Dependencies,EvidencePath,Labels
Task,M1 Gate1 - CI/CD,[M1][CI/CD] 补充：OpenAPI lint + codegen 作为 CI 必跑步骤,"WBS: M1-E02.6
Gate: 工程化打底+三环境
模块/端: CI/CD

验收/DoD:
spec 变更未更新生成物会失败

证据归档路径建议:
evidence/M1/OpenAPI/

依赖:
-

来源:
本落地包生成（基于排期+清单+设计稿）",P0,DevOps/安全,,evidence/M1/OpenAPI/,"M1,Gate1"
Epic,M1 Gate1 - 部署/域名,M1 Gate1 - 部署/域名: Cloudflare Pages：5端部署+域名路由；统一安全头(_headers)与CSP,"Gate: 工程化打底+三环境
模块/端: 部署/域名
排期验收: Pages配置截图+Header检查
依赖: -
排期备注: 防呆: CI 门禁 + 基础 Smoke | 防安全事故: 可一键回滚 + 监控告警就绪 | 防安全漏洞: HSTS/CSP | 防返工: 工程骨架先定（结构/脚手架）

来源: 排期表 Sheet 工程排期_任务拆解 行 8",P0,DevOps/前端,,,"M1,Gate1"
Task,M1 Gate1 - 部署/域名,[M1][部署/域名] Cloudflare Pages：为五端分别创建项目并绑定仓库/分支/构建命令,"WBS: M1-E03.1
Gate: 工程化打底+三环境
模块/端: 部署/域名

验收/DoD:
Pages 配置截图齐全；可访问五端站点

证据归档路径建议:
evidence/M1/Pages/

依赖:
-

来源:
本落地包生成（基于排期+清单+设计稿）",P0,DevOps/前端,,evidence/M1/Pages/,"M1,Gate1"
Task,M1 Gate1 - 部署/域名,[M1][部署/域名] 配置域名路由（建议：{app}.{env}.example.com 或同类）,"WBS: M1-E03.2
Gate: 工程化打底+三环境
模块/端: 部署/域名

验收/DoD:
域名解析/路由截图；HTTPS 正常

证据归档路径建议:
evidence/M1/Pages/

依赖:
-

来源:
本落地包生成（基于排期+清单+设计稿）",P0,DevOps/前端,,evidence/M1/Pages/,"M1,Gate1"
Task,M1 Gate1 - 部署/域名,[M1][部署/域名] 固化安全头（_headers）：HSTS、X-Content-Type-Options、Referrer-Policy、frame-ancestors 等,"WBS: M1-E03.3
Gate: 工程化打底+三环境
模块/端: 部署/域名

验收/DoD:
curl -I 校验截图；浏览器检查通过

证据归档路径建议:
evidence/M1/Pages/

依赖:
-

来源:
本落地包生成（基于排期+清单+设计稿）",P0,DevOps/前端,,evidence/M1/Pages/,"M1,Gate1"
Task,M1 Gate1 - 部署/域名,[M1][部署/域名] CSP 策略落地（默认禁止 unsafe-inline；如需例外需记录理由）,"WBS: M1-E03.4
Gate: 工程化打底+三环境
模块/端: 部署/域名

验收/DoD:
CSP 生效且不破坏核心页面；截图/说明

证据归档路径建议:
evidence/M1/Pages/

依赖:
-

来源:
本落地包生成（基于排期+清单+设计稿）",P0,DevOps/前端,,evidence/M1/Pages/,"M1,Gate1"
Task,M1 Gate1 - 部署/域名,[M1][部署/域名] Pages 回滚与发布策略（回滚到上一次成功构建）,"WBS: M1-E03.5
Gate: 工程化打底+三环境
模块/端: 部署/域名

验收/DoD:
发生事故可一键回滚；演练记录

证据归档路径建议:
evidence/M1/Pages/

依赖:
-

来源:
本落地包生成（基于排期+清单+设计稿）",P0,DevOps/前端,,evidence/M1/Pages/,"M1,Gate1"
Epic,M1 Gate1 - 后端,M1 Gate1 - 后端: Cloud Run部署 + GCLB/Ingress限制（阻断直连Cloud Run）,"Gate: 工程化打底+三环境
模块/端: 后端
排期验收: 架构图+配置截图
依赖: -
排期备注: 防呆: CI 门禁 + 基础 Smoke | 防安全事故: 可一键回滚 + 监控告警就绪 | 防安全漏洞: 避免绕过WAF | 防返工: 工程骨架先定（结构/脚手架）

来源: 排期表 Sheet 工程排期_任务拆解 行 9",P0,DevOps/后端,,,"M1,Gate1"
Task,M1 Gate1 - 后端,[M1][后端] 后端服务容器化（Dockerfile + 健康检查 /v1/health）,"WBS: M1-E04.1
Gate: 工程化打底+三环境
模块/端: 后端

验收/DoD:
本地 docker run 可启动；/v1/health 返回 200

证据归档路径建议:
evidence/M1/Backend/

依赖:
-

来源:
本落地包生成（基于排期+清单+设计稿）",P0,DevOps/后端,,evidence/M1/Backend/,"M1,Gate1"
Task,M1 Gate1 - 后端,[M1][后端] Cloud Run：DEV/STAGING/PROD 各部署一套（env vars + secrets）,"WBS: M1-E04.2
Gate: 工程化打底+三环境
模块/端: 后端

验收/DoD:
Cloud Run 配置截图/链接；服务可访问

证据归档路径建议:
evidence/M1/Backend/

依赖:
-

来源:
本落地包生成（基于排期+清单+设计稿）",P0,DevOps/后端,,evidence/M1/Backend/,"M1,Gate1"
Task,M1 Gate1 - 后端,[M1][后端] 入口限制：通过 GCLB/WAF 访问，阻断直连 Cloud Run（避免绕过 WAF）,"WBS: M1-E04.3
Gate: 工程化打底+三环境
模块/端: 后端

验收/DoD:
验证：直接 Cloud Run URL 访问失败；经入口访问成功

证据归档路径建议:
evidence/M1/Gateway/

依赖:
-

来源:
本落地包生成（基于排期+清单+设计稿）",P0,DevOps/后端,,evidence/M1/Gateway/,"M1,Gate1"
Task,M1 Gate1 - 后端,[M1][后端] CORS 白名单与安全头在 API 侧落地（与环境变量清单一致）,"WBS: M1-E04.4
Gate: 工程化打底+三环境
模块/端: 后端

验收/DoD:
预检 OPTIONS 通过；非白名单被拒绝；证据截图

证据归档路径建议:
evidence/M1/Security/

依赖:
-

来源:
本落地包生成（基于排期+清单+设计稿）",P0,DevOps/后端,,evidence/M1/Security/,"M1,Gate1"
Epic,M1 Gate1 - 数据库,M1 Gate1 - 数据库: Cloud SQL(PG)建库+迁移脚本可重复执行+种子数据；备份+PITR开启,"Gate: 工程化打底+三环境
模块/端: 数据库
排期验收: migrations+备份截图
依赖: -
排期备注: 防呆: CI 门禁 + 基础 Smoke | 防安全事故: 备份/PITR | 防安全漏洞: SCA/Secret 扫描 + 安全头基线 | 防返工: 工程骨架先定（结构/脚手架）

来源: 排期表 Sheet 工程排期_任务拆解 行 10",P0,后端/DBA,,,"M1,Gate1"
Task,M1 Gate1 - 数据库,[M1][数据库] Cloud SQL(PG)：DEV/STAGING/PROD 建库与账号权限最小化,"WBS: M1-E05.1
Gate: 工程化打底+三环境
模块/端: 数据库

验收/DoD:
实例/DB/用户截图；无 superuser 直连生产策略说明

证据归档路径建议:
evidence/M1/DB/

依赖:
-

来源:
本落地包生成（基于排期+清单+设计稿）",P0,后端/DBA,,evidence/M1/DB/,"M1,Gate1"
Task,M1 Gate1 - 数据库,[M1][数据库] 启用备份 + PITR（Point-in-time recovery）,"WBS: M1-E05.2
Gate: 工程化打底+三环境
模块/端: 数据库

验收/DoD:
控制台截图；演练说明（如何回滚到某时间点）

证据归档路径建议:
evidence/M1/DB/

依赖:
-

来源:
本落地包生成（基于排期+清单+设计稿）",P0,后端/DBA,,evidence/M1/DB/,"M1,Gate1"
Task,M1 Gate1 - 数据库,[M1][数据库] Flyway migrations：baseline + 可重复执行（本地/CI/云）,"WBS: M1-E05.3
Gate: 工程化打底+三环境
模块/端: 数据库

验收/DoD:
重复执行无报错；迁移日志归档

证据归档路径建议:
evidence/M1/DB/

依赖:
-

来源:
本落地包生成（基于排期+清单+设计稿）",P0,后端/DBA,,evidence/M1/DB/,"M1,Gate1"
Task,M1 Gate1 - 数据库,[M1][数据库] 种子数据机制：DEV 完整、STAGING 最小（禁止全量拷贝 PROD）,"WBS: M1-E05.4
Gate: 工程化打底+三环境
模块/端: 数据库

验收/DoD:
seed 脚本/说明；STAGING 数据来源说明

证据归档路径建议:
evidence/M1/Env/

依赖:
-

来源:
本落地包生成（基于排期+清单+设计稿）",P0,后端/DBA,,evidence/M1/Env/,"M1,Gate1"
Epic,M1 Gate1 - 文件中心,M1 Gate1 - 文件中心: GCS私有桶+Signed URL上传/下载骨架；扫描流程(Job/Worker)骨架,"Gate: 工程化打底+三环境
模块/端: 文件中心
排期验收: bucket策略+接口样例
依赖: -
排期备注: 防呆: CI 门禁 + 基础 Smoke | 防安全事故: 可一键回滚 + 监控告警就绪 | 防安全漏洞: 私有桶+过期URL | 防返工: 工程骨架先定（结构/脚手架）

来源: 排期表 Sheet 工程排期_任务拆解 行 11",P0,后端,,,"M1,Gate1"
Task,M1 Gate1 - 文件中心,[M1][文件中心] GCS：私有桶（每环境独立）+ 最小权限 IAM,"WBS: M1-E06.1
Gate: 工程化打底+三环境
模块/端: 文件中心

验收/DoD:
bucket policy 截图；匿名不可读

证据归档路径建议:
evidence/M1/Files/

依赖:
-

来源:
本落地包生成（基于排期+清单+设计稿）",P0,后端,,evidence/M1/Files/,"M1,Gate1"
Task,M1 Gate1 - 文件中心,[M1][文件中心] Signed URL 上传/下载骨架（过期时间、content-type、大小限制）,"WBS: M1-E06.2
Gate: 工程化打底+三环境
模块/端: 文件中心

验收/DoD:
接口样例（curl）+ 过期 URL 失效证明

证据归档路径建议:
evidence/M1/Files/

依赖:
-

来源:
本落地包生成（基于排期+清单+设计稿）",P0,后端,,evidence/M1/Files/,"M1,Gate1"
Task,M1 Gate1 - 文件中心,[M1][文件中心] 扫描流程骨架：Job/Worker（scan_status/错误码/重试策略）,"WBS: M1-E06.3
Gate: 工程化打底+三环境
模块/端: 文件中心

验收/DoD:
能创建扫描任务并更新状态；日志样例

证据归档路径建议:
evidence/M1/Files/

依赖:
-

来源:
本落地包生成（基于排期+清单+设计稿）",P0,后端,,evidence/M1/Files/,"M1,Gate1"
Epic,M1 Gate1 - 可观测,M1 Gate1 - 可观测: 日志规范：requestId/用户/实体ID；前端错误收集（Sentry或同类）接入,"Gate: 工程化打底+三环境
模块/端: 可观测
排期验收: 日志样例+Sentry截图
依赖: -
排期备注: 防呆: CI 门禁 + 基础 Smoke | 防安全事故: 可追踪/告警 | 防安全漏洞: SCA/Secret 扫描 + 安全头基线 | 防返工: 工程骨架先定（结构/脚手架）

来源: 排期表 Sheet 工程排期_任务拆解 行 12",P0,后端/前端,,,"M1,Gate1"
Task,M1 Gate1 - 可观测,[M1][可观测] 后端日志规范：requestId/actor/org/entity + PII 脱敏规则,"WBS: M1-E07.1
Gate: 工程化打底+三环境
模块/端: 可观测

验收/DoD:
提供 3 条真实样例日志（脱敏后）

证据归档路径建议:
evidence/M1/Observability/

依赖:
-

来源:
本落地包生成（基于排期+清单+设计稿）",P0,后端/前端,,evidence/M1/Observability/,"M1,Gate1"
Task,M1 Gate1 - 可观测,[M1][可观测] requestId 贯穿：入站 header → 日志 → 响应 Envelope,"WBS: M1-E07.2
Gate: 工程化打底+三环境
模块/端: 可观测

验收/DoD:
任意请求响应含 requestId；截图

证据归档路径建议:
evidence/M1/Observability/

依赖:
-

来源:
本落地包生成（基于排期+清单+设计稿）",P0,后端/前端,,evidence/M1/Observability/,"M1,Gate1"
Task,M1 Gate1 - 可观测,[M1][可观测] 前端错误收集（Sentry 或同类）接入五端,"WBS: M1-E07.3
Gate: 工程化打底+三环境
模块/端: 可观测

验收/DoD:
Sentry 项目截图；触发一次测试错误可上报

证据归档路径建议:
evidence/M1/Observability/

依赖:
-

来源:
本落地包生成（基于排期+清单+设计稿）",P0,后端/前端,,evidence/M1/Observability/,"M1,Gate1"
Epic,M1 Gate1 - 环境隔离,M1 Gate1 - 环境隔离: DEV/STAGING/PROD 三套独立资源/密钥；验证STAGING不从PROD全量拷贝,"Gate: 工程化打底+三环境
模块/端: 环境隔离
排期验收: 隔离截图+说明
依赖: -
排期备注: 防呆: CI 门禁 + 基础 Smoke | 防安全事故: 防数据污染 | 防安全漏洞: SCA/Secret 扫描 + 安全头基线 | 防返工: 工程骨架先定（结构/脚手架）

来源: 排期表 Sheet 工程排期_任务拆解 行 13",P0,DevOps,,,"M1,Gate1"
Task,M1 Gate1 - 环境隔离,[M1][环境隔离] DEV/STAGING/PROD 资源/密钥完全隔离（Project/DB/Bucket/Secret）,"WBS: M1-E08.1
Gate: 工程化打底+三环境
模块/端: 环境隔离

验收/DoD:
隔离截图 + 资源命名表

证据归档路径建议:
evidence/M1/Env/

依赖:
-

来源:
本落地包生成（基于排期+清单+设计稿）",P0,DevOps,,evidence/M1/Env/,"M1,Gate1"
Task,M1 Gate1 - 环境隔离,[M1][环境隔离] 验证 STAGING 不从 PROD 全量拷贝（数据/密钥）,"WBS: M1-E08.2
Gate: 工程化打底+三环境
模块/端: 环境隔离

验收/DoD:
检查清单 + 说明

证据归档路径建议:
evidence/M1/Env/

依赖:
-

来源:
本落地包生成（基于排期+清单+设计稿）",P0,DevOps,,evidence/M1/Env/,"M1,Gate1"
Task,M1 Gate1 - 环境隔离,[M1][环境隔离] 环境变量清单落地（.env.example + Secret Manager/Pages env 对应）,"WBS: M1-E08.3
Gate: 工程化打底+三环境
模块/端: 环境隔离

验收/DoD:
.env.example 与清单一致；部署时可一键核对

证据归档路径建议:
evidence/M1/Env/

依赖:
-

来源:
本落地包生成（基于排期+清单+设计稿）",P0,DevOps,,evidence/M1/Env/,"M1,Gate1"
Epic,M1 Gate1 - OpenAPI/契约,M1 Gate1 - OpenAPI/契约: OpenAPI lint+codegen：基于 openapi_v1.0.6 生成 TS client（packages/api-client），联调统一用生成物；接口变更先改 OpenAPI,"Gate: 工程化打底+三环境
模块/端: OpenAPI/契约
排期验收: CI 生成物可复现 + OpenAPI lint 报告 + api-client 产物
依赖: M0 OpenAPI v1.0.6
排期备注: 防呆: OpenAPI lint + codegen 作为 CI 门禁 | 防安全事故: 接口变更可追溯（防联调事故） | 防安全漏洞: Schema 校验 + ErrorCode 枚举 | 防返工: 契约先定再写代码

来源: 排期表 Sheet 工程排期_任务拆解 行 14",P0,前端/后端,M0 OpenAPI v1.0.6,,"M1,Gate1"
Task,M1 Gate1 - OpenAPI/契约,[M1][OpenAPI/契约] 引入冻结 OpenAPI v1.0.6（yaml/json）到仓库并锁定变更流程,"WBS: M1-E09.1
Gate: 工程化打底+三环境
模块/端: OpenAPI/契约

验收/DoD:
spec 可追溯（tag/版本号/变更记录）

证据归档路径建议:
evidence/M1/OpenAPI/

依赖:
M0 OpenAPI v1.0.6

来源:
本落地包生成（基于排期+清单+设计稿）",P0,前端/后端,M0 OpenAPI v1.0.6,evidence/M1/OpenAPI/,"M1,Gate1"
Task,M1 Gate1 - OpenAPI/契约,[M1][OpenAPI/契约] OpenAPI lint（Spectral）规则与 CI 门禁,"WBS: M1-E09.2
Gate: 工程化打底+三环境
模块/端: OpenAPI/契约

验收/DoD:
lint 报告可下载；错误阻断合并

证据归档路径建议:
evidence/M1/OpenAPI/

依赖:
M0 OpenAPI v1.0.6

来源:
本落地包生成（基于排期+清单+设计稿）",P0,前端/后端,M0 OpenAPI v1.0.6,evidence/M1/OpenAPI/,"M1,Gate1"
Task,M1 Gate1 - OpenAPI/契约,[M1][OpenAPI/契约] OpenAPI codegen：生成 TS client 到 packages/api-client（可复现）,"WBS: M1-E09.3
Gate: 工程化打底+三环境
模块/端: OpenAPI/契约

验收/DoD:
CI 可复现生成；生成物提交或 artifact 策略明确

证据归档路径建议:
evidence/M1/OpenAPI/

依赖:
M0 OpenAPI v1.0.6

来源:
本落地包生成（基于排期+清单+设计稿）",P0,前端/后端,M0 OpenAPI v1.0.6,evidence/M1/OpenAPI/,"M1,Gate1"
Task,M1 Gate1 - OpenAPI/契约,[M1][OpenAPI/契约] 错误码枚举 ErrorCode 与客户端映射（按 ERROR_CODE_ENUM.md）,"WBS: M1-E09.4
Gate: 工程化打底+三环境
模块/端: OpenAPI/契约

验收/DoD:
客户端可按 code 映射提示；示例

证据归档路径建议:
evidence/M1/OpenAPI/

依赖:
M0 OpenAPI v1.0.6

来源:
本落地包生成（基于排期+清单+设计稿）",P0,前端/后端,M0 OpenAPI v1.0.6,evidence/M1/OpenAPI/,"M1,Gate1"
Epic,M1 Gate1 - 联调/测试,M1 Gate1 - 联调/测试: Contract tests：按 OpenAPI 校验 Envelope/ErrorCode/状态码(含412/428)；接口变更自动爆红,"Gate: 工程化打底+三环境
模块/端: 联调/测试
排期验收: contract tests 报告（含失败示例）
依赖: OpenAPI codegen
排期备注: 防呆: contract tests 必跑（合并阻断） | 防安全事故: 减少线上不兼容 | 防安全漏洞: 鉴权/错误码一致性 | 防返工: 接口变更自动回归

来源: 排期表 Sheet 工程排期_任务拆解 行 15",P0,后端/测试,OpenAPI codegen,,"M1,Gate1"
Task,M1 Gate1 - 联调/测试,[M1][联调/测试] Contract tests 框架搭建（基于 OpenAPI 校验 Envelope/ErrorCode/状态码）,"WBS: M1-E10.1
Gate: 工程化打底+三环境
模块/端: 联调/测试

验收/DoD:
本地可跑；CI 必跑；报告归档

证据归档路径建议:
evidence/M1/OpenAPI/

依赖:
OpenAPI codegen

来源:
本落地包生成（基于排期+清单+设计稿）",P0,后端/测试,OpenAPI codegen,evidence/M1/OpenAPI/,"M1,Gate1"
Task,M1 Gate1 - 联调/测试,[M1][联调/测试] 覆盖 412/428（If-Match 缺失/过期）与 403/404 越权策略的用例,"WBS: M1-E10.2
Gate: 工程化打底+三环境
模块/端: 联调/测试

验收/DoD:
至少各 1 条用例；失败示例 + 修复后通过

证据归档路径建议:
evidence/M1/Concurrency/

依赖:
OpenAPI codegen

来源:
本落地包生成（基于排期+清单+设计稿）",P0,后端/测试,OpenAPI codegen,evidence/M1/Concurrency/,"M1,Gate1"
Task,M1 Gate1 - 联调/测试,[M1][联调/测试] 联调入口统一 /v1：测试/SDK/示例代码禁止引用 /api,"WBS: M1-E10.3
Gate: 工程化打底+三环境
模块/端: 联调/测试

验收/DoD:
grep/规则证明；CI 只对 /v1

证据归档路径建议:
evidence/M1/Gateway/

依赖:
OpenAPI codegen

来源:
本落地包生成（基于排期+清单+设计稿）",P0,后端/测试,OpenAPI codegen,evidence/M1/Gateway/,"M1,Gate1"
Epic,M1 Gate1 - Auth,M1 Gate1 - Auth: Cookie 会话+CSRF 基线：/v1/me、/v1/auth/refresh、/v1/auth/logout 在 STAGING 跑通；禁止 token 落 localStorage,"Gate: 安全基线（Auth/RBAC/审计/并发）
模块/端: Auth
排期验收: STAGING 登录/刷新/退出录屏 + Set-Cookie/CSRF 校验记录
依赖: 设计稿1(Auth)+环境变量清单
排期备注: 防呆: 写接口强制 CSRF | 防安全事故: 会话可撤销/可轮换 | 防安全漏洞: HttpOnly+CSRF（防 XSS/CSRF） | 防返工: 统一 Auth 中间件/SDK

来源: 排期表 Sheet 工程排期_任务拆解 行 16",P0,后端/前端/安全,设计稿1(Auth)+环境变量清单,,"M1,Gate1"
Task,M1 Gate1 - Auth,[M1][Auth] Cookie 会话：/v1/me 在 STAGING 跑通（HttpOnly+Secure+SameSite）,"WBS: M1-E11.1
Gate: 安全基线（Auth/RBAC/审计/并发）
模块/端: Auth

验收/DoD:
录屏 + Set-Cookie 截图

证据归档路径建议:
evidence/M1/Auth/

依赖:
设计稿1(Auth)+环境变量清单

来源:
本落地包生成（基于排期+清单+设计稿）",P0,后端/前端/安全,设计稿1(Auth)+环境变量清单,evidence/M1/Auth/,"M1,Gate1"
Task,M1 Gate1 - Auth,[M1][Auth] refresh rotation：/v1/auth/refresh 在 STAGING 跑通（CSRF 保护）,"WBS: M1-E11.2
Gate: 安全基线（Auth/RBAC/审计/并发）
模块/端: Auth

验收/DoD:
录屏 + CSRF 校验记录

证据归档路径建议:
evidence/M1/Auth/

依赖:
设计稿1(Auth)+环境变量清单

来源:
本落地包生成（基于排期+清单+设计稿）",P0,后端/前端/安全,设计稿1(Auth)+环境变量清单,evidence/M1/Auth/,"M1,Gate1"
Task,M1 Gate1 - Auth,[M1][Auth] logout：/v1/auth/logout 幂等清 cookie（CSRF 保护）,"WBS: M1-E11.3
Gate: 安全基线（Auth/RBAC/审计/并发）
模块/端: Auth

验收/DoD:
录屏/截图；重复调用仍成功

证据归档路径建议:
evidence/M1/Auth/

依赖:
设计稿1(Auth)+环境变量清单

来源:
本落地包生成（基于排期+清单+设计稿）",P0,后端/前端/安全,设计稿1(Auth)+环境变量清单,evidence/M1/Auth/,"M1,Gate1"
Task,M1 Gate1 - Auth,[M1][Auth] 前端禁止 token 落 localStorage：统一 fetch(credentials: include) 策略,"WBS: M1-E11.4
Gate: 安全基线（Auth/RBAC/审计/并发）
模块/端: Auth

验收/DoD:
代码扫描证明（无 localStorage token）

证据归档路径建议:
evidence/M1/Auth/

依赖:
设计稿1(Auth)+环境变量清单

来源:
本落地包生成（基于排期+清单+设计稿）",P0,后端/前端/安全,设计稿1(Auth)+环境变量清单,evidence/M1/Auth/,"M1,Gate1"
Epic,M1 Gate1 - 权限/归属,M1 Gate1 - 权限/归属: authorize() 权限中间件：按「权限矩阵」执行 role/scope + 资源归属；越权按 403/404 策略；关键接口补齐,"Gate: 安全基线（Auth/RBAC/审计/并发）
模块/端: 权限/归属
排期验收: 越权用例（403/404）+ 单测/集成测
依赖: 设计稿2(权限矩阵)
排期备注: 防呆: 鉴权组件化（禁止散落） | 防安全事故: 误操作可控（最小权限） | 防安全漏洞: 防 IDOR/越权 | 防返工: 权限规则只写一处

来源: 排期表 Sheet 工程排期_任务拆解 行 17",P0,后端/安全,设计稿2(权限矩阵),,"M1,Gate1"
Task,M1 Gate1 - 权限/归属,[M1][权限/归属] authorize() 中间件落地：role/scope 校验 + 资源归属校验入口统一,"WBS: M1-E12.1
Gate: 安全基线（Auth/RBAC/审计/并发）
模块/端: 权限/归属

验收/DoD:
接口实现不得散落鉴权；代码结构说明

证据归档路径建议:
evidence/M1/Security/

依赖:
设计稿2(权限矩阵)

来源:
本落地包生成（基于排期+清单+设计稿）",P0,后端/安全,设计稿2(权限矩阵),evidence/M1/Security/,"M1,Gate1"
