METHOD,Current PATH(/api),Target PATH(/v1),Tags,Summary,需要登录,PUBLIC,TENANT,OWNER,ADMIN,CRM/STAFF,资源归属校验规则(必须可实现),数据最小暴露/脱敏要求,数据分类(P0/P1/P2),是否审计,审计Action,限流等级(NONE/STANDARD/HIGH_RISK),错误策略(403/404),备注
POST,/api/document-requests/{requestId}/reject,/v1/document-requests/{requestId}/reject,Doc Requests,驳回资料（Admin：填写原因，Tenant 端可见）,是,N,N,N,Y,Y,仅 admin/staff；记录审批人/时间/理由,状态流转需审计；审批理由不对 tenant 暴露内部备注,P0,是,DOCREQ_DECIDE,HIGH_RISK,403/404,
POST,/api/document-requests/{requestId}/submit,/v1/document-requests/{requestId}/submit,Doc Requests,提交资料（Tenant：上传文件后绑定到 request）,是,N,Y,N,N,N,TENANT 必须是 request 目标 tenant；提交必须绑定 documentIds,状态流转需审计；审批理由不对 tenant 暴露内部备注,P0,是,DOCREQ_SUBMIT,HIGH_RISK,403/404,
POST,/api/document-requests/{requestId}/waive,/v1/document-requests/{requestId}/waive,Doc Requests,豁免资料（Admin）,是,N,N,N,Y,Y,仅 admin/staff；记录审批人/时间/理由,状态流转需审计；审批理由不对 tenant 暴露内部备注,P0,是,DOCREQ_DECIDE,HIGH_RISK,403/404,
GET,/api/documents,/v1/documents,Files,查询文档列表（按可见性+权限过滤）,是,N,Y,Y,Y,Y,org_id 强制过滤；仅返回 caller 可见 documents（按 visibility + 归属）,列表不返回 downloadUrl（或仅短期）；不返回存储路径,P0,否,,STANDARD,403/404,
GET,/api/documents/{docId},/v1/documents/{docId},Files,获取文档元数据（含短期 downloadUrl）,是,N,Y,Y,Y,Y,org_id 强制过滤；TENANT/OWNER 仅可访问归属文档；PATCH 仅 admin/staff 或文档 owner,仅允许更新白名单字段（visibility/expiresAt/label）,P0,否,,STANDARD,403/404,
PATCH,/api/documents/{docId},/v1/documents/{docId},Files,更新文档元数据（可见性/到期日等）,是,N,N,N,Y,Y,org_id 强制过滤；TENANT/OWNER 仅可访问归属文档；PATCH 仅 admin/staff 或文档 owner,仅允许更新白名单字段（visibility/expiresAt/label）,P0,是,DOCUMENT_UPDATE,HIGH_RISK,403/404,
GET,/api/documents/{docId}/download,/v1/documents/{docId}/download,Files,获取下载链接（或 302 重定向）,是,N,Y,Y,Y,Y,org_id 强制过滤；下载动作必须审计；signed URL TTL<=300s,返回 302 或短期 URL；不泄露 bucket/path；一次性 token 可选,P0,是,DOCUMENT_DOWNLOAD,HIGH_RISK,403/404,
POST,/api/files/complete-upload,/v1/files/complete-upload,Files,完成上传并落库 Document 元数据,是,N,N,N,Y,Y,org_id 强制过滤；资源归属按角色校验；越权返回 404（必要时 403/404）,返回最小字段集；禁止暴露内部备注、密钥、token；PII 脱敏,P1,否,,STANDARD,403/404,(默认) 请根据业务再细化
POST,/api/files/presign-upload,/v1/files/presign-upload,Files,获取直传对象存储的签名上传 URL（推荐）,是,N,N,N,Y,Y,org_id 强制过滤；资源归属按角色校验；越权返回 404（必要时 403/404）,返回最小字段集；禁止暴露内部备注、密钥、token；PII 脱敏,P1,否,,STANDARD,403/404,(默认) 请根据业务再细化
GET,/api/invoices,/v1/invoices,Billing,查询账单（Owner/Tenant/Admin）,是,N,Y,Y,Y,Y,org_id 强制过滤；TENANT/OWNER 仅看归属 invoice；owner 仅看自己物业,不返回支付凭证原始文件；用 documentId 引用,P0,否,,STANDARD,403/404,
POST,/api/invoices,/v1/invoices,Billing,创建账单（Admin）,是,N,N,N,Y,Y,org_id 强制过滤；只允许 admin/staff 创建；invoice 必须关联 lease,金额/币种/项目校验；锁定后不可改金额,P0,是,INVOICE_CREATE,HIGH_RISK,403/404,
GET,/api/invoices/{invoiceId},/v1/invoices/{invoiceId},Billing,获取账单详情,是,N,Y,Y,Y,Y,org_id 强制过滤；TENANT/OWNER 只读；PATCH 仅 admin/staff,锁定策略执行；变更金额必须审计,P0,否,,STANDARD,403/404,
PATCH,/api/invoices/{invoiceId},/v1/invoices/{invoiceId},Billing,更新账单（Admin；locked=true 时禁止修改金额/项目）,是,N,N,N,Y,Y,org_id 强制过滤；TENANT/OWNER 只读；PATCH 仅 admin/staff,锁定策略执行；变更金额必须审计,P0,是,INVOICE_UPDATE,HIGH_RISK,403/404,
GET,/api/invoices/{invoiceId}/payments,/v1/invoices/{invoiceId}/payments,Billing,获取某账单的付款记录,是,N,Y,Y,Y,Y,org_id 强制过滤；付款记录归属 invoice；TENANT 可新增 payment（SUBMITTED）,付款凭证文件通过 documents 访问；不直接回传 URL（使用短期 signed URL）,P0,否,,STANDARD,403/404,
POST,/api/invoices/{invoiceId}/payments,/v1/invoices/{invoiceId}/payments,Billing,新增付款记录（Tenant 上传凭证=SUBMITTED；Admin 可直接 VERIFED）,是,N,Y,Y,Y,Y,org_id 强制过滤；付款记录归属 invoice；TENANT 可新增 payment（SUBMITTED）,付款凭证文件通过 documents 访问；不直接回传 URL（使用短期 signed URL）,P0,是,PAYMENT_SUBMIT,HIGH_RISK,403/404,
GET,/api/landlord-leads,/v1/landlord-leads,Core,查询房东线索（Admin/CRM）,是,N,N,N,Y,Y,org_id 强制过滤；只允许 staff/admin,同 tenant-leads；联系方式仅授权角色可见,P0,否,,STANDARD,403/404,
POST,/api/landlord-leads,/v1/landlord-leads,Public,提交房东线索（Homepage 表单）,否,Y,N,N,N,N,无登录；写入线索需绑定来源(source)、同意隐私(consent=true)；仅写入，不返回敏感内部字段,响应仅回显必要字段（可选：仅返回 id/status）；不回传内部评分/分配信息,P0,是,LEAD_SUBMIT,HIGH_RISK,400,必须：Turnstile + 限流 + 去重（email/phone 维度）
GET,/api/leases,/v1/leases,Core,查询租约（Owner/Tenant/Admin 按权限过滤）,是,N,Y,Y,Y,Y,org_id 强制过滤；TENANT 只能看自己的 lease；OWNER 只能看自己名下物业的 lease,列表不返回身份证/银行卡等；合同文件用 documentId 引用,P0,否,,STANDARD,403/404,
POST,/api/leases,/v1/leases,Core,创建租约（Admin）,是,N,N,N,Y,Y,org_id 强制过滤；仅 admin/staff 创建；tenantId/ownerId 必须同 org 且关联 property,创建后返回 leaseId；敏感字段仅对授权角色可见,P0,是,LEASE_CREATE,HIGH_RISK,403/404,
GET,/api/leases/{leaseId},/v1/leases/{leaseId},Core,获取租约详情,是,N,Y,Y,Y,Y,org_id 强制过滤；TENANT/OWNER 仅可访问归属 lease；PATCH 仅 admin/staff,TENANT/OWNER 只读；更新仅 admin；合同下载需审计,P0,否,,STANDARD,403/404,
PATCH,/api/leases/{leaseId},/v1/leases/{leaseId},Core,更新租约（Admin）,是,N,N,N,Y,Y,org_id 强制过滤；TENANT/OWNER 仅可访问归属 lease；PATCH 仅 admin/staff,TENANT/OWNER 只读；更新仅 admin；合同下载需审计,P0,是,LEASE_UPDATE,HIGH_RISK,403/404,
POST,/api/match-proposals/{proposalId}/respond,/v1/match-proposals/{proposalId}/respond,Applications,租客响应匹配提案（接受/拒绝）,是,N,N,N,Y,Y,org_id 强制过滤；仅 admin/staff 创建 proposal；绑定 applicationId + propertyId,proposal 只给 tenant 可见必要字段,P0,是,MATCH_PROPOSAL_CREATE,STANDARD,403/404,
GET,/api/me,/v1/me,Auth & Profile,获取当前登录用户信息（角色/绑定的 ownerId/tenantId/语言偏好）,是,N,Y,Y,Y,Y,subject 必须等于 token/cookie 中 user_id；org_id 从会话/claim 获取,只返回当前用户相关字段；不返回其他人的 PII,P0,否,,NONE,403,
PATCH,/api/me/preferences,/v1/me/preferences,Auth & Profile,更新当前用户偏好（语言/通知）,是,N,Y,Y,Y,Y,subject 必须等于 token/cookie 中 user_id；org_id 从会话/claim 获取,只返回当前用户相关字段；不返回其他人的 PII,P0,是,ME_UPDATE,STANDARD,403,
GET,/api/notifications,/v1/notifications,Notifications,查询通知（按可见性与权限过滤）,是,N,Y,Y,Y,Y,subject=当前用户；org_id 强制；仅返回自己的通知,不包含敏感正文（必要时简略）；详情通过资源链接获取,P1,否,,STANDARD,403/404,
POST,/api/notifications/read-all,/v1/notifications/read-all,Notifications,全部标为已读,是,N,Y,Y,Y,Y,subject=当前用户,批量更新 readAt,P1,否,,STANDARD,403,
PATCH,/api/notifications/{notificationId},/v1/notifications/{notificationId},Notifications,标记通知已读/未读,是,N,Y,Y,Y,Y,subject=当前用户；只能更新自己的 read 状态,只允许 read/unread,P1,否,,STANDARD,403,
POST,/api/payments/{paymentId}/reject,/v1/payments/{paymentId}/reject,Billing,驳回付款凭证（Admin）,是,N,Y,Y,Y,Y,org_id 强制过滤；付款记录归属 invoice；TENANT 可新增 payment（SUBMITTED）,付款凭证文件通过 documents 访问；不直接回传 URL（使用短期 signed URL）,P0,是,PAYMENT_SUBMIT,HIGH_RISK,403/404,
POST,/api/payments/{paymentId}/reverse,/v1/payments/{paymentId}/reverse,Billing,冲正/撤销付款记录（Admin）,是,N,Y,Y,Y,Y,org_id 强制过滤；付款记录归属 invoice；TENANT 可新增 payment（SUBMITTED）,付款凭证文件通过 documents 访问；不直接回传 URL（使用短期 signed URL）,P0,是,PAYMENT_SUBMIT,HIGH_RISK,403/404,
POST,/api/payments/{paymentId}/verify,/v1/payments/{paymentId}/verify,Billing,审核通过付款凭证（Admin）,是,N,Y,Y,Y,Y,org_id 强制过滤；付款记录归属 invoice；TENANT 可新增 payment（SUBMITTED）,付款凭证文件通过 documents 访问；不直接回传 URL（使用短期 signed URL）,P0,是,PAYMENT_SUBMIT,HIGH_RISK,403/404,
GET,/api/properties,/v1/properties,"Core, Public",查询房源列表（公开 published=true / 内部全量）,否,Y,N,N,N,N,公共只读列表；仅返回 public 字段（不含 ownerId/内部信息）,publicPropertyView：地址可做模糊化（街区级）；不返回房东联系方式/内部备注,P2,否,,STANDARD,400,可加缓存；仍需 WAF 基础规则
POST,/api/properties,/v1/properties,Core,创建房源（Admin/CRM）,是,N,N,Y,Y,Y,org_id 强制过滤；OWNER 只能创建自己的房源；ADMIN/STAFF 可代创建,写入校验：地址/租金/可租日期；禁止客户端写审计字段,P1,是,PROPERTY_CREATE,STANDARD,403/404,
DELETE,/api/properties/{propertyId},/v1/properties/{propertyId},Core,删除房源（Admin）,是,N,N,N,Y,Y,org_id 强制过滤；仅 admin/staff；软删除 preferred,删除必须审计；关联租约/账单时禁止硬删,P1,是,PROPERTY_DELETE,HIGH_RISK,403/404,
GET,/api/properties/{propertyId},/v1/properties/{propertyId},Core,获取房源详情,是,N,Y,Y,Y,Y,org_id 强制过滤；TENANT 仅可访问与自身 application/lease 关联的房源；OWNER 仅可访问自己房源,TENANT/OWNER 返回各自视图；不返回内部评分/运营字段（除 admin/staff）,P1,否,,STANDARD,403/404,
PATCH,/api/properties/{propertyId},/v1/properties/{propertyId},Core,更新房源（Admin/CRM）,是,N,N,Y,Y,Y,org_id 强制过滤；OWNER 仅更新自己房源；字段级权限控制（如价格/状态）,仅允许白名单字段更新；状态变更需审计,P1,是,PROPERTY_UPDATE,STANDARD,403/404,
GET,/api/tenant-leads,/v1/tenant-leads,Core,查询租客线索（CRM/Admin）,是,N,N,N,Y,Y,org_id 强制过滤；只允许 staff/admin；支持按 status 查询；不得跨 org,列表字段最小化；如需联系方式仅对授权角色返回,P0,否,,STANDARD,403/404,建议加导出审计（如支持导出）
POST,/api/tenant-leads,/v1/tenant-leads,Public,提交租客线索（Homepage 表单）,否,Y,N,N,N,N,无登录；写入线索需绑定来源(source)、同意隐私(consent=true)；仅写入，不返回敏感内部字段,响应仅回显必要字段（可选：仅返回 id/status）；不回传内部评分/分配信息,P0,是,LEAD_SUBMIT,HIGH_RISK,400,必须：Turnstile + 限流 + 去重（email/phone 维度）
GET,/api/tenant-leads/{leadId},/v1/tenant-leads/{leadId},Core,获取单条租客线索,是,N,N,N,Y,Y,org_id 强制过滤；只允许 staff/admin；支持按 status 查询；不得跨 org,列表字段最小化；如需联系方式仅对授权角色返回,P0,否,,STANDARD,403/404,建议加导出审计（如支持导出）
PATCH,/api/tenant-leads/{leadId},/v1/tenant-leads/{leadId},Core,更新租客线索状态/备注（CRM/Admin）,是,N,N,N,Y,Y,org_id 强制过滤；资源归属按角色校验；越权返回 404（必要时 403/404）,返回最小字段集；禁止暴露内部备注、密钥、token；PII 脱敏,P1,否,,STANDARD,403/404,(默认) 请根据业务再细化
GET,/api/tickets,/v1/tickets,Tickets,查询工单列表（Owner/Tenant/Admin）,是,N,Y,Y,Y,Y,org_id 强制过滤；TENANT 仅看自己的 ticket；OWNER 仅看自己物业相关 ticket,列表隐藏内部处理备注（仅 admin/staff 可见）,P0,否,,STANDARD,403/404,
POST,/api/tickets,/v1/tickets,Tickets,创建工单（Tenant/Owner）,是,N,Y,Y,Y,Y,org_id 强制过滤；TENANT 只能为自己的 lease 创建；OWNER 只能为自己物业创建,附件通过 documents 绑定；内容含 PII 需脱敏日志,P0,是,TICKET_CREATE,STANDARD,403/404,
GET,/api/tickets/{ticketId},/v1/tickets/{ticketId},Tickets,获取工单详情,是,N,Y,Y,Y,Y,org_id 强制过滤；TENANT 可 PATCH 仅限可编辑字段（如描述/补充）；OWNER/admin 可更新状态,状态流转需审计；内部备注仅 admin/staff,P0,否,,STANDARD,403/404,
PATCH,/api/tickets/{ticketId},/v1/tickets/{ticketId},Tickets,更新工单（Admin/Owner，或 Tenant 修改自己工单的可编辑字段）,是,N,Y,Y,Y,Y,org_id 强制过滤；TENANT 可 PATCH 仅限可编辑字段（如描述/补充）；OWNER/admin 可更新状态,状态流转需审计；内部备注仅 admin/staff,P0,是,TICKET_UPDATE,STANDARD,403/404,
POST,/api/tickets/{ticketId}/comments,/v1/tickets/{ticketId}/comments,Tickets,追加工单评论/沟通记录,是,N,Y,Y,Y,Y,org_id 强制过滤；评论归属 ticket；TENANT/OWNER 仅可见同 ticket,评论内容不写入日志明文；附件用 documentId,P0,是,TICKET_COMMENT_CREATE,STANDARD,403/404,
GET,(new),/v1/health,Ops,健康检查,否,Y,N,N,N,N,公开只读；不含内部信息,"仅返回 {status,version,region}",P2,否,,STANDARD,400,供 LB/监控使用
POST,(new),/v1/properties/{propertyId}/images,"Files,Core",上传房源图片（对齐验收；内部落 Document）,是,N,N,Y,Y,Y,"org_id 强制过滤；OWNER 仅可为自己的 property 上传；文件落 Document(type=PROPERTY_IMAGE,propertyId)",不回传存储路径；仅返回 documentId/thumbnailUrl(短期),P0,是,PROPERTY_IMAGE_UPLOAD,HIGH_RISK,403/404,建议优先 signed URL；multipart 仅兼容
POST,(new),/v1/invitations,Auth,创建邀请（Admin/Staff）,是,N,N,N,Y,Y,org_id 强制；仅 admin/staff；invitation 绑定 leaseId + expiresAt,不回传 one_time_token 明文（仅一次性显示或通过邮件发送）,P0,是,INVITATION_CREATE,HIGH_RISK,403/404,必须 Turnstile/限流
POST,(new),/v1/invitations/{token}/accept,Auth,接受邀请并激活账号（Tenant）,否,Y,N,N,N,N,一次性 token 校验；激活后发 cookie session；写入审计,响应不回传敏感 claim,P0,是,INVITATION_ACCEPT,HIGH_RISK,400,token 过期/已用返回 400
POST,(new),/v1/gdpr/export,GDPR,导出数据（Admin）,是,N,N,N,Y,Y,org_id 强制；导出请求写审计并异步生成；下载链接短期,导出文件加密/短期；不在日志打印内容,P0,是,GDPR_EXPORT,HIGH_RISK,403/404,建议异步 job + 通知
POST,(new),/v1/gdpr/erase,GDPR,删除/匿名化请求（Admin）,是,N,N,N,Y,Y,org_id 强制；删除以匿名化为主；保留财务必要字段；全流程审计,返回 jobId；不回传详细 PII,P0,是,GDPR_ERASE,HIGH_RISK,403/404,需审批/二次确认可选
